timestamp,model-path
2026-04-02-09-01-40,alternative_agents/openhands_subagents/claude-sonnet-4-5
2026-04-02-09-00-30,alternative_agents/openhands_subagents/claude-opus-4-6
2026-04-02-08-27-36,results/claude-sonnet-4-5
2026-04-02-08-25-46,results/claude-opus-4-6
2026-04-02-03-29-21,results/GPT-5.2-Codex
2026-04-01-18-02-51,results/GPT-5.4
2026-03-30-15-04-07,alternative_agents/claude_code/claude-sonnet-4-5
2026-03-30-15-02-09,alternative_agents/claude_code/Claude-Opus-4.6
2026-03-12-14-55-11,results/GLM-5
2026-03-06-22-03-40,results/Gemini-3.1-Pro
2026-03-05-15-25-17,results/Nemotron-3-Nano
2026-03-05-15-25-17,results/MiniMax-M2.5
2026-03-05-15-25-17,results/MiniMax-M2.1
2026-03-05-15-25-17,results/Kimi-K2.5
2026-03-05-15-25-17,results/Gemini-3-Pro
2026-03-05-15-25-17,results/GLM-4.7
2026-03-03-20-22-27,results/claude-sonnet-4-6
2026-02-18-02-40-23,results/Kimi-K2-Thinking
2026-02-18-02-40-07,results/claude-opus-4-5
2026-02-18-02-39-40,results/Qwen3-Coder-480B
2026-02-18-02-39-33,results/Gemini-3-Flash
2026-02-18-02-39-17,results/DeepSeek-V3.2-Reasoner
2026-02-18-02-39-01,results/GPT-5.2
